,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
0,Frieren at the Funeral,葬送のフリーレン,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,"Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Nippon Television Network,       TOHO animation,       Shogakukan","None found, add some",Madhouse,Manga,"AdventureAdventure,         DramaDrama,         FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.361 (scored by 410685410,685 users)      1          indicates a weighted score.",#122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#262,"753,635","42,948","During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Sousou no Frieren</strong></h1><br/><p class=""title-english title-inherit"">Frieren: Beyond Journey's End</p></div>",,,,,,,,,
1,,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken","Funimation,       Aniplex of America",Bones,Manga,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"9.091 (scored by 21266662,126,666 users)      1          indicates a weighted score.",#222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3,"3,355,785","226,147","After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Fullmetal Alchemist: Brotherhood</strong></h1></div>",Fullmetal Alchemist Brotherhood,MilitaryMilitary,,,,,,,
2,,STEINS;GATE,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,"Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus",Funimation,White Fox,Visual novel,"DramaDrama,         Sci-FiSci-Fi,         SuspenseSuspense",,24 min. per ep.,PG-13 - Teens 13 or older,"9.071 (scored by 14039291,403,929 users)      1          indicates a weighted score.",#322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#13,"2,571,531","189,710","Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.

However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.

Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Steins;Gate</strong></h1></div>",,,Steins;Gate,"PsychologicalPsychological,         Time TravelTime Travel",,,,,
3,Gintama' (2015),銀魂°,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,"TV Tokyo,       Aniplex,       Dentsu","Funimation,       Crunchyroll",Bandai Namco Pictures,Manga,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.061 (scored by 252182252,182 users)      1          indicates a weighted score.",#422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#343,"633,099","16,674","Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama°</strong></h1><br/><p class=""title-english title-inherit"">Gintama Season 4</p></div>",Gintama Saison 4,,Gintama Season 4,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",Gintama Season 4,Gintama Temporada 4,,,
4,,進撃の巨人 Season3 Part.2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"ActionAction,         DramaDrama,         SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"9.051 (scored by 15942111,594,211 users)      1          indicates a weighted score.",#522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#21,"2,287,223","58,786","Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Shingeki no Kyojin Season 3 Part 2</strong></h1><br/><p class=""title-english title-inherit"">Attack on Titan Season 3 Part 2</p></div>",L'Attaque des Titans Saison 3 Partie 2,,Attack on Titan Season 3 Part 2,"GoreGore,         MilitaryMilitary,         SurvivalSurvival",Attack on Titan Staffel 3 Teil 2,Ataque a los Titanes Temporada 3 Parte 2,,,
5,,銀魂 THE FINAL,Movie,1,Finished Airing,"Jan 8, 2021",,"TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha",Eleven Arts,Bandai Namco Pictures,Manga,"ActionAction,         ComedyComedy,         DramaDrama,         Sci-FiSci-Fi",ShounenShounen,1 hr. 44 min.,PG-13 - Teens 13 or older,"9.041 (scored by 7276272,762 users)      1          indicates a weighted score.",#622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1532,"151,606","4,283","Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama: The Final</strong></h1><br/><p class=""title-english title-inherit"">Gintama: The Very Final</p></div>",,,,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",N/A,,,,
6,Gintama (2011),銀魂',TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,"TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha","None found, add some",Sunrise,Manga,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.031 (scored by 238279238,279 users)      1          indicates a weighted score.",#722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#393,"558,388","8,154","After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama'</strong></h1><br/><p class=""title-english title-inherit"">Gintama Season 2</p></div>",Gintama Saison 2,,Gintama Season 2,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",Gintama Staffel 2,Gintama Temporada 2,,,
7,HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,"VAP,       Nippon Television Network,       Shueisha",VIZ Media,Madhouse,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"9.031 (scored by 17695581,769,558 users)      1          indicates a weighted score.",#822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#9,"2,843,878","210,854","Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hunter x Hunter (2011)</strong></h1><br/><p class=""title-english title-inherit"">Hunter x Hunter</p></div>",Hunter X Hunter,,Hunter x Hunter,,Hunter x Hunter,Hunter x Hunter,,,
8,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",銀河英雄伝説,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,"TV Tokyo,       Kitty Films,       Tokuma Shoten,       Tokuma Japan Communications,       Wright Staff",Sentai Filmworks,"K-Factory,       Kitty Film Mitaka Studio",Novel,"DramaDrama,         Sci-FiSci-Fi",,26 min. per ep.,R - 17+ (violence & profanity),"9.021 (scored by 7966079,660 users)      1          indicates a weighted score.",#922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#744,"323,514","16,307","The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.

While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.

As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Ginga Eiyuu Densetsu</strong></h1><br/><p class=""title-english title-inherit"">Legend of the Galactic Heroes</p></div>",Les Héros de la Galaxie,,Legend of the Galactic Heroes,"Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace",,,,,
9,"Gintama' (2012), Gintama' Overdrive, Kintama",銀魂' 延長戦,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus","None found, add some",Sunrise,Manga,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.021 (scored by 166017166,017 users)      1          indicates a weighted score.",#1022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#738,"326,574","3,054","While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?

In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama': Enchousen</strong></h1><br/><p class=""title-english title-inherit"">Gintama: Enchousen</p></div>",,,,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",,,,,
10,,BLEACH 千年血戦篇,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"9.011 (scored by 283499283,499 users)      1          indicates a weighted score.",#1122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#409,"546,001","20,581","Substitute Soul Reaper Ichigo Kurosaki spends his days fighting against Hollows, dangerous evil spirits that threaten Karakura Town. Ichigo carries out his quest with his closest allies: Orihime Inoue, his childhood friend with a talent for healing; Yasutora Sado, his high school classmate with superhuman strength; and Uryuu Ishida, Ichigo's Quincy rival.

Ichigo's vigilante routine is disrupted by the sudden appearance of Asguiaro Ebern, a dangerous Arrancar who heralds the return of Yhwach, an ancient Quincy king. Yhwach seeks to reignite the historic blood feud between Soul Reaper and Quincy, and he sets his sights on erasing both the human world and the Soul Society for good.

Yhwach launches a two-pronged invasion into both the Soul Society and Hueco Mundo, the home of Hollows and Arrancar. In retaliation, Ichigo and his friends must fight alongside old allies and enemies alike to end Yhwach's campaign of carnage before the world itself comes to an end.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Bleach: Sennen Kessen-hen</strong></h1><br/><p class=""title-english title-inherit"">Bleach: Thousand-Year Blood War</p></div>",,,,,,,,,
11,,かぐや様は告らせたい-ウルトラロマンティック-,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,"Aniplex,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"ComedyComedy,         RomanceRomance",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"9.011 (scored by 527758527,758 users)      1          indicates a weighted score.",#1222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#175,"934,855","31,268","The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kaguya-sama wa Kokurasetai: Ultra Romantic</strong></h1><br/><p class=""title-english title-inherit"">Kaguya-sama: Love is War - Ultra Romantic</p></div>",,SchoolSchool,,,,,,,
12,"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",フルーツバスケット The Final,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,"TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN",Funimation,TMS Entertainment,Manga,"DramaDrama,         RomanceRomance,         SupernaturalSupernatural",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"8.981 (scored by 238554238,554 users)      1          indicates a weighted score.",#1322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#471,"481,115","20,089","Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.

Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Fruits Basket: The Final</strong></h1><br/><p class=""title-english title-inherit"">Fruits Basket: The Final Season</p></div>",Fruits Basket Saison 3,,,,Fruits Basket Staffel 3,,,,
13,Gintama (2017),銀魂。,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha","None found, add some",Bandai Namco Pictures,Manga,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.981 (scored by 146689146,689 users)      1          indicates a weighted score.",#1422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#763,"315,970","2,729","After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.

Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama.</strong></h1><br/><p class=""title-english title-inherit"">Gintama Season 5</p></div>",,,Gintama Season 5,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",,,,,
14,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Audio Highs,       Miracle Robo,       Shueisha","Sentai Filmworks,       Crunchyroll",Sunrise,Manga,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.941 (scored by 397500397,500 users)      1          indicates a weighted score.",#1522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#141,"1,068,247","59,361","Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. 

Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. 

Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gintama</strong></h1></div>",,,Gintama,"Gag HumorGag Humor,         HistoricalHistorical,         ParodyParody,         SamuraiSamurai",,,,,
15,,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,"Pony Canyon,       TBS,       Rakuonsha,       Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"DramaDrama,         RomanceRomance,         SupernaturalSupernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"8.931 (scored by 661854661,854 users)      1          indicates a weighted score.",#1622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#118,"1,197,082","70,263","Tomoya Okazaki and Nagisa Furukawa have graduated from high school, and together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Clannad: After Story</strong></h1></div>",Clannad ~After Story~,,,,Clannad ~After Story~,Clannad ~After Story~,,,
16,The Shape of Voice,聲の形,Movie,1,Finished Airing,"Sep 17, 2016",,"Shochiku,       Pony Canyon,       Kodansha,       ABC Animation,       Quaras","Eleven Arts,       NYAV Post",Kyoto Animation,Manga,"Award WinningAward Winning,         DramaDrama",ShounenShounen,2 hr. 10 min.,PG-13 - Teens 13 or older,"8.931 (scored by 16210411,621,041 users)      1          indicates a weighted score.",#1722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#20,"2,339,600","88,055","As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Koe no Katachi</strong></h1><br/><p class=""title-english title-inherit"">A Silent Voice</p></div>",A Silent Voice,Romantic SubtextRomantic Subtext,A Silent Voice,,A Silent Voice,Una Voz Silenciosa,,,
17,Sangatsu no Lion Second Season,3月のライオン 第2シリーズ,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,"Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory",Aniplex of America,Shaft,Manga,,SeinenSeinen,25 min. per ep.,PG-13 - Teens 13 or older,"8.921 (scored by 200375200,375 users)      1          indicates a weighted score.",#1822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#568,"403,623","15,060","Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. 

Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>3-gatsu no Lion 2nd Season</strong></h1><br/><p class=""title-english title-inherit"">March Comes In Like a Lion 2nd Season</p></div>",March Comes in like a Lion Saison 2,,March Comes In Like a Lion 2nd Season,"ChildcareChildcare,         Strategy GameStrategy Game",March Come in Like a Lion Staffel 2,March Comes in like a Lion Temporada 2,DramaDrama,,
